Group,Seed,Fold,ThresOral,ThresDensity,Precision,Recall,F1,Accuracy
Allo-HCT,0,1,0.235224257,9811781.963,0.658119658,0.35,0.456973294,0.705787781
Allo-HCT,0,2,0.235294543,9816709.299,0.729508197,0.381974249,0.501408451,0.715434084
Allo-HCT,0,3,0.232541175,19719721.0,0.739837398,0.313793103,0.440677966,0.628617363
Allo-HCT,0,4,0.219499783,28939767.5,0.822580645,0.323809524,0.464692483,0.6215781
Allo-HCT,0,5,0.23192189,9752206.405,0.694656489,0.4375,0.536873156,0.747181965
Allo-HCT,1,1,0.235414714,9817568.143,0.748031496,0.413043478,0.532212885,0.731511254
Allo-HCT,1,2,0.232125219,9810309.075,0.711711712,0.352678571,0.471641791,0.715434084
Allo-HCT,1,3,0.229652499,24247822.85,0.746031746,0.311258278,0.439252336,0.61414791
Allo-HCT,1,4,0.232147012,9843367.063,0.717557252,0.427272727,0.535612536,0.737520129
Allo-HCT,1,5,0.234304582,9827608.915,0.6875,0.361502347,0.473846154,0.724637681
Allo-HCT,2,1,0.232104309,9805308.986,0.680672269,0.375,0.48358209,0.721864952
Allo-HCT,2,2,0.217284924,35239426.36,0.834532374,0.318681319,0.461232604,0.564308682
Allo-HCT,2,3,0.207117824,24245476.93,0.795620438,0.340625,0.47702407,0.615755627
Allo-HCT,2,4,0.231958013,9826489.345,0.675213675,0.372641509,0.480243161,0.724637681
Allo-HCT,2,5,0.234636827,9849522.008,0.703389831,0.364035088,0.479768786,0.710144928
Allo-HCT,3,1,0.231923325,9849436.964,0.630252101,0.357142857,0.455927052,0.71221865
Allo-HCT,3,2,0.232076604,9791212.994,0.735042735,0.367521368,0.49002849,0.71221865
Allo-HCT,3,3,0.232165995,9828806.527,0.72519084,0.427927928,0.538243626,0.737942122
Allo-HCT,3,4,0.234749164,9701244.054,0.705357143,0.341991342,0.460641399,0.702093398
Allo-HCT,3,5,0.235596145,9629664.711,0.68503937,0.428571429,0.527272727,0.748792271
Allo-HCT,4,1,0.231979354,24447601.41,0.818181818,0.293159609,0.431654676,0.618971061
Allo-HCT,4,2,0.231905627,9863097.373,0.702898551,0.4092827,0.517333333,0.709003215
Allo-HCT,4,3,0.234524539,9857150.754,0.721804511,0.432432432,0.54084507,0.737942122
Allo-HCT,4,4,0.232278557,9762704.214,0.637168142,0.356435644,0.457142857,0.724637681
Allo-HCT,4,5,0.234558609,9824248.009,0.675438596,0.337719298,0.450292398,0.69726248
Allo-HCT,5,1,0.231934377,24252994.88,0.803571429,0.293159609,0.429594272,0.615755627
Allo-HCT,5,2,0.235126447,9827925.386,0.715447154,0.401826484,0.514619883,0.733118971
Allo-HCT,5,3,0.234227302,9817688.153,0.687022901,0.43062201,0.529411765,0.742765273
Allo-HCT,5,4,0.235277204,9687061.504,0.666666667,0.362831858,0.46991404,0.702093398
Allo-HCT,5,5,0.231929863,10643790.62,0.715517241,0.362445415,0.48115942,0.711755233
Allo-HCT,6,1,0.235655552,9895634.306,0.666666667,0.385650224,0.488636364,0.710610932
Allo-HCT,6,2,0.232230305,9822212.497,0.724409449,0.372469636,0.49197861,0.694533762
Allo-HCT,6,3,0.207523512,24300161.46,0.811965812,0.300632911,0.438799076,0.609324759
Allo-HCT,6,4,0.234108806,19634590.25,0.723214286,0.31640625,0.440217391,0.668276973
Allo-HCT,6,5,0.232261098,9686846.781,0.684210526,0.417431193,0.518518519,0.727858293
Allo-HCT,7,1,0.235213337,9856958.862,0.701492537,0.417777778,0.52367688,0.725080386
Allo-HCT,7,2,0.231980032,9833798.264,0.727272727,0.347826087,0.470588235,0.710610932
Allo-HCT,7,3,0.235161831,9698312.369,0.651376147,0.344660194,0.450793651,0.721864952
Allo-HCT,7,4,0.231133827,24926540.39,0.814516129,0.319620253,0.459090909,0.616747182
Allo-HCT,7,5,0.232008237,9862844.397,0.720930233,0.397435897,0.512396694,0.714975845
Allo-HCT,8,1,0.232178474,9854680.373,0.661417323,0.398104265,0.49704142,0.726688103
Allo-HCT,8,2,0.219449325,24239423.5,0.8,0.35443038,0.49122807,0.627009646
Allo-HCT,8,3,0.234370254,9789162.806,0.730769231,0.345454545,0.469135802,0.723472669
Allo-HCT,8,4,0.231670381,9848174.084,0.689655172,0.349344978,0.463768116,0.702093398
Allo-HCT,8,5,0.205528015,10061599.79,0.659863946,0.434977578,0.524324324,0.716586151
Allo-HCT,9,1,0.23533465,9829242.772,0.687022901,0.410958904,0.514285714,0.726688103
Allo-HCT,9,2,0.234200247,9748174.312,0.672268908,0.372093023,0.479041916,0.720257235
Allo-HCT,9,3,0.231910332,19693412.79,0.842592593,0.317073171,0.460759494,0.65755627
Allo-HCT,9,4,0.235218847,10052249.03,0.651851852,0.382608696,0.482191781,0.695652174
Allo-HCT,9,5,0.232215331,9838809.509,0.741071429,0.393364929,0.513931889,0.747181965
Allo-HCT,10,1,0.234934618,9789337.365,0.650793651,0.384976526,0.483775811,0.718649518
Allo-HCT,10,2,0.231590647,9831161.07,0.666666667,0.368159204,0.474358974,0.736334405
Allo-HCT,10,3,0.232086131,9843054.398,0.754545455,0.382488479,0.50764526,0.741157556
Allo-HCT,10,4,0.235194985,9894479.296,0.686440678,0.341772152,0.456338028,0.68921095
Allo-HCT,10,5,0.206693171,42524007.72,0.87012987,0.35078534,0.5,0.568438003
Allo-HCT,11,1,0.207053152,26355982.83,0.770491803,0.302250804,0.434180139,0.606109325
Allo-HCT,11,2,0.229893647,24253659.75,0.773913043,0.28525641,0.416861827,0.599678457
Allo-HCT,11,3,0.234694939,9692096.701,0.692857143,0.427312775,0.528610354,0.721864952
Allo-HCT,11,4,0.232095141,9831049.227,0.714285714,0.386363636,0.501474926,0.727858293
Allo-HCT,11,5,0.234838273,9855288.846,0.672,0.40776699,0.50755287,0.737520129
Allo-HCT,12,1,0.232071402,9825705.804,0.572815534,0.287804878,0.383116883,0.694533762
Allo-HCT,12,2,0.234308548,9684459.452,0.620967742,0.37745098,0.469512195,0.720257235
Allo-HCT,12,3,0.231972446,9839754.388,0.76119403,0.447368421,0.563535912,0.745980707
Allo-HCT,12,4,0.196260615,26332812.75,0.790540541,0.3556231,0.490566038,0.608695652
Allo-HCT,12,5,0.235136952,9786192.192,0.769230769,0.379746835,0.508474576,0.719806763
Allo-HCT,13,1,0.232158616,9862971.633,0.726495726,0.393518519,0.510510511,0.737942122
Allo-HCT,13,2,0.234240761,9790165.831,0.710526316,0.352173913,0.470930233,0.707395498
Allo-HCT,13,3,0.231354662,9842281.153,0.696,0.414285714,0.519402985,0.741157556
Allo-HCT,13,4,0.235453997,9841773.138,0.663793103,0.358139535,0.465256798,0.714975845
Allo-HCT,13,5,0.23217339,9695128.852,0.701492537,0.406926407,0.515068493,0.714975845
