Sink,Source,Percentage
F_Day_3_Abx_C,O_Day_0_Abx_C,0.100378880750428
F_Day_7_DSS_B,O_Day_0_DSS_B,2.94250042083181e-05
F_Day_3_DSS_B,O_Day_0_DSS_B,0.0002344989206807
KP_Exp_8_D8_AVN3,KP_Exp_8_D0_OR_AVN3,0.113758048674004
F_Day_3_DSS_D,O_Day_0_DSS_D,0.0004781225740727
F_Day_7_DSS_D,O_Day_0_DSS_D,4.6795382072925894e-30
F_Day_7_Abx_E,O_Day_0_Abx_E,0.0748765204651184
F_Day_3_Abx_E,O_Day_0_Abx_E,0.337216966593952
F_Day_3_Control_A,O_Day_0_Control_A,0.0007111666782068
F_Day_7_Control_A,O_Day_0_Control_A,0.0003894155582821
F_Day_3_Abx_D,O_Day_0_Abx_D,1.5603217843911e-18
F_Day_7_Abx_D,O_Day_0_Abx_D,0.647811512788044
F_Day_3_Abx_A,O_Day_0_Abx_A,0.0441239286079186
F_Day_7_Abx_A,O_Day_0_Abx_A,0.0867217406810979
F_Day_7_DSS_E,O_Day_0_DSS_E,0.0012292565365408
F_Day_3_DSS_E,O_Day_0_DSS_E,0.0043579121733148
KP_Exp_8_D8_AVN2,KP_Exp_8_D0_OR_AVN2,0.210641317946186
F_Day_3_Control_E,O_Day_0_Control_E,0.0049738076757667
F_Day_7_Control_E,O_Day_0_Control_E,0.0104863751050254
F_Day_3_Control_C,O_Day_0_Control_C,8.40283402653986e-05
F_Day_7_Control_C,O_Day_0_Control_C,0.0007766180120075
KP_Exp_8_D8_AVN1,KP_Exp_8_D0_OR_AVN1,0.268352570624406
