	KP_Exp_8_D0_AVN1	KP_Exp_8_D0_OR_AVN1	KP_Exp_8_D8_AVN1
ASV_1	7724	0	0
ASV_10	784	0	0
ASV_100	50	0	0
ASV_101	101	0	0
ASV_1010	0	12	0
ASV_103	25	0	0
ASV_1030	8	0	0
ASV_1033	0	0	14
ASV_104	90	0	0
ASV_1047	0	0	7
ASV_1051	8	0	0
ASV_106	72	0	0
ASV_107	86	0	0
ASV_108	28	0	0
ASV_1093	0	0	22
ASV_11	165	0	7
ASV_110	14	0	0
ASV_111	0	269	533
ASV_112	68	0	0
ASV_1130	5	0	0
ASV_1138	30	0	0
ASV_115	71	0	0
ASV_1150	0	120	0
ASV_116	4	0	0
ASV_1168	6050	0	0
ASV_117	56	0	0
ASV_1178	0	0	8
ASV_118	0	32	38
ASV_1202	11	0	0
ASV_1212	0	0	5
ASV_1214	0	96	0
ASV_1222	2175	0	0
ASV_123	257	0	0
ASV_125	0	1	72
ASV_127	0	0	58
ASV_128	47	0	0
ASV_129	44	0	0
ASV_13	0	1151	799
ASV_130	113	0	0
ASV_131	20	0	0
ASV_1318	0	27	0
ASV_132	0	0	48
ASV_1323	1	0	0
ASV_134	52	0	16
ASV_135	29	0	0
ASV_1353	0	0	6
ASV_137	74	0	0
ASV_139	0	0	18
ASV_14	0	593	1705
ASV_142	9	0	0
ASV_143	37	0	0
ASV_144	33	0	0
ASV_1459	0	28	0
ASV_146	21	0	0
ASV_147	31	0	0
ASV_148	75	0	0
ASV_149	183	0	0
ASV_15	13207	208	177
ASV_150	21	0	0
ASV_1503	0	0	24
ASV_151	27	0	0
ASV_153	0	19	48
ASV_154	71	0	0
ASV_156	107	0	0
ASV_158	72	0	0
ASV_159	0	0	1654
ASV_16	2435	0	0
ASV_160	909	0	0
ASV_162	29	0	0
ASV_166	68	0	0
ASV_167	0	0	655
ASV_1675	0	21	16
ASV_1681	0	308	0
ASV_170	21	0	0
ASV_172	31	0	0
ASV_173	0	0	44
ASV_1737	4	0	0
ASV_174	30	0	0
ASV_175	33	0	0
ASV_176	23	0	0
ASV_177	0	0	31
ASV_178	25	0	0
ASV_1790	0	0	3
ASV_180	0	0	29
ASV_181	0	0	7
ASV_1814	886	0	0
ASV_182	72	0	0
ASV_1823	0	3	49
ASV_183	27	0	0
ASV_185	0	316	0
ASV_186	111	0	0
ASV_188	18	0	0
ASV_189	12	0	0
ASV_1892	0	0	14
ASV_1895	0	137	0
ASV_19	4327	0	0
ASV_192	50	0	0
ASV_198	52	0	0
ASV_199	0	0	6
ASV_2	42666	388	3174
ASV_20	10	0	0
ASV_200	0	148	38
ASV_2012	0	26	0
ASV_203	0	0	19
ASV_206	202	0	0
ASV_207	119	0	0
ASV_208	0	0	5
ASV_2082	0	0	41
ASV_209	19	0	0
ASV_214	62	0	0
ASV_215	0	0	45
ASV_2159	0	0	2
ASV_217	80	0	0
ASV_2171	0	0	6
ASV_218	18	0	0
ASV_219	120	0	0
ASV_220	25	0	0
ASV_221	0	0	26
ASV_222	14	0	0
ASV_223	971	0	0
ASV_224	26	0	0
ASV_225	27	0	0
ASV_226	283	0	0
ASV_227	0	206	24
ASV_228	500	0	0
ASV_23	0	0	38
ASV_2309	7	0	0
ASV_233	36	0	0
ASV_238	29	0	0
ASV_239	35	0	0
ASV_24	0	100	175
ASV_240	41	0	0
ASV_241	45	0	0
ASV_2420	0	59	0
ASV_244	0	0	12
ASV_245	0	0	13
ASV_246	0	0	24
ASV_2463	0	0	12
ASV_247	55	0	0
ASV_248	48	0	0
ASV_25	266	0	0
ASV_250	25	0	0
ASV_251	15	0	0
ASV_2543	0	0	6
ASV_2568	0	0	2
ASV_257	0	122	10
ASV_258	7	0	0
ASV_2596	0	15	0
ASV_2598	0	0	8
ASV_26	1557	0	0
ASV_261	157	0	0
ASV_262	16	0	0
ASV_263	43	0	0
ASV_264	228	0	0
ASV_266	60	0	0
ASV_272	6	0	0
ASV_273	0	0	48
ASV_276	0	0	24
ASV_278	74	0	0
ASV_279	89	0	0
ASV_281	633	0	0
ASV_285	0	2785	0
ASV_286	0	0	12
ASV_29	413	0	7
ASV_290	25	0	0
ASV_294	13	0	0
ASV_295	0	0	37
ASV_297	33	0	0
ASV_298	28	0	0
ASV_3	51029	0	359
ASV_30	325	0	0
ASV_302	0	0	4
ASV_303	0	0	8
ASV_31	399	0	7
ASV_315	0	0	14
ASV_316	0	0	15
ASV_319	0	0	74
ASV_323	6	0	0
ASV_3241	0	167	0
ASV_325	0	366	0
ASV_326	11	0	0
ASV_327	11	0	0
ASV_33	0	283	0
ASV_330	0	0	25
ASV_331	0	47	0
ASV_332	45	0	0
ASV_3355	0	4	0
ASV_336	37	0	0
ASV_3381	0	21	0
ASV_34	187	0	0
ASV_341	0	0	45
ASV_342	11	0	0
ASV_343	0	0	10
ASV_35	103	0	0
ASV_3504	0	29	0
ASV_352	0	0	403
ASV_355	0	0	10
ASV_356	28	0	0
ASV_36	175	0	3
ASV_360	11	0	0
ASV_3606	1	0	0
ASV_3607	0	203	0
ASV_3608	931	0	0
ASV_3610	3	0	0
ASV_3618	2	0	0
ASV_3622	53	0	0
ASV_3628	0	299	0
ASV_3631	2	0	0
ASV_364	8	0	0
ASV_3650	0	53	0
ASV_3656	0	39	0
ASV_3659	0	9	0
ASV_37	114	0	0
ASV_370	14	0	0
ASV_371	21	0	0
ASV_372	62	0	0
ASV_373	21	0	0
ASV_374	0	183	0
ASV_375	0	0	43
ASV_377	0	0	15
ASV_3786	7	0	0
ASV_3797	0	53	0
ASV_38	983	0	0
ASV_381	56	0	0
ASV_382	24	0	0
ASV_385	25	0	0
ASV_387	79	0	0
ASV_3870	1	0	0
ASV_388	38	0	0
ASV_39	7	0	0
ASV_390	14	0	0
ASV_391	3	0	0
ASV_3913	12	0	3782
ASV_3914	119	0	0
ASV_3915	7	0	0
ASV_3916	1665	0	0
ASV_3918	66	0	0
ASV_3921	0	0	76
