	KP_Exp_8_D0_AVN2	KP_Exp_8_D0_OR_AVN2	KP_Exp_8_D8_AVN2
ASV_1	10702	15354	0
ASV_10	1362	0	0
ASV_100	94	0	0
ASV_101	101	0	0
ASV_1010	0	0	16
ASV_1016	0	0	11
ASV_102	31	0	0
ASV_103	40	0	0
ASV_1032	0	0	16
ASV_1034	0	0	24
ASV_104	90	0	0
ASV_1051	3	0	0
ASV_106	28	0	0
ASV_107	48	0	0
ASV_1074	0	515	0
ASV_1075	0	0	14
ASV_108	117	0	0
ASV_1085	0	0	9
ASV_109	1206	0	60
ASV_1091	0	0	12
ASV_11	217	0	10
ASV_110	37	0	0
ASV_1104	0	0	6
ASV_1106	0	0	8
ASV_1108	0	0	9
ASV_111	0	2937	1149
ASV_1117	0	0	7
ASV_1118	0	0	9
ASV_112	181	0	0
ASV_1125	0	0	13
ASV_1129	3	0	0
ASV_113	124	0	0
ASV_1138	57	0	0
ASV_116	118	0	0
ASV_1167	0	0	6
ASV_117	83	0	0
ASV_1175	0	0	19
ASV_118	0	0	383
ASV_1180	0	0	16
ASV_1186	0	0	12
ASV_1196	0	0	8
ASV_1212	0	0	22
ASV_1219	0	0	5
ASV_1225	3	0	0
ASV_1229	0	0	6
ASV_123	683	0	0
ASV_124	37	0	0
ASV_125	0	254	359
ASV_1258	0	383	0
ASV_1259	0	0	32
ASV_1261	0	0	32
ASV_127	0	0	230
ASV_1278	0	0	8
ASV_128	92	0	0
ASV_129	106	0	0
ASV_1291	0	0	8
ASV_1296	1	0	0
ASV_13	0	10709	4522
ASV_130	44	0	0
ASV_1302	0	0	8
ASV_132	0	0	80
ASV_1337	0	0	12
ASV_1338	0	0	12
ASV_134	41	0	0
ASV_135	141	999	0
ASV_1365	0	0	47
ASV_1369	0	0	6
ASV_137	143	0	0
ASV_138	329	1262	0
ASV_139	0	0	121
ASV_1392	38	0	0
ASV_14	4	5529	9852
ASV_142	12	0	0
ASV_143	42	0	0
ASV_1436	0	0	10
ASV_145	0	0	7
ASV_146	30	0	0
ASV_1467	0	0	8
ASV_147	5	0	0
ASV_148	47	0	0
ASV_1486	0	0	8
ASV_149	76	0	0
ASV_1496	0	0	9
ASV_15	2555	0	31
ASV_150	43	0	0
ASV_1503	0	0	99
ASV_153	0	0	171
ASV_154	80	0	0
ASV_1545	0	2450	0
ASV_1558	0	0	11
ASV_156	19	0	0
ASV_1577	0	0	15
ASV_158	99	0	0
ASV_159	0	1277	3787
ASV_1591	0	0	8
ASV_16	1073	0	0
ASV_160	556	0	0
ASV_161	11	0	0
ASV_162	35	0	0
ASV_163	36	0	0
ASV_1633	0	0	8
ASV_164	32	0	0
ASV_166	24	0	0
ASV_167	0	0	164
ASV_1675	0	0	106
ASV_168	0	0	83
ASV_17	797	0	0
ASV_170	33	0	0
ASV_171	81	0	0
ASV_173	0	0	178
ASV_174	87	839	0
ASV_175	20	0	0
ASV_1750	0	0	5
ASV_176	69	0	0
ASV_177	0	0	479
ASV_1775	0	0	8
ASV_178	50	0	0
ASV_179	75	0	0
ASV_1795	0	0	17
ASV_18	830	0	5
ASV_180	0	0	106
ASV_181	0	0	46
ASV_1814	1271	218	0
ASV_182	30	0	0
ASV_1823	0	0	37
ASV_185	0	805	33
ASV_186	78	0	0
ASV_187	605	0	0
ASV_1887	0	0	4
ASV_1892	0	0	45
ASV_19	2240	537	0
ASV_1912	0	1423	6
ASV_192	25	0	0
ASV_1931	5	0	0
ASV_194	40	0	0
ASV_2	34364	42228	277
ASV_20	2157	0	0
ASV_200	0	0	378
ASV_201	0	0	18
ASV_2012	0	0	18
ASV_202	60	0	0
ASV_203	0	392	65
ASV_2038	0	9	11
ASV_204	17	0	0
ASV_2043	0	0	9
ASV_206	45	0	0
ASV_207	48	0	0
ASV_2072	0	0	15
ASV_208	0	0	25
ASV_2082	0	0	145
ASV_2085	0	0	4
ASV_209	19	0	0
ASV_21	60	0	0
ASV_210	14	0	0
ASV_2101	0	0	12
ASV_2109	0	0	13
ASV_211	42	0	0
ASV_213	52	0	0
ASV_214	52	0	0
ASV_215	0	0	205
ASV_2153	0	0	3
ASV_2179	0	0	7
ASV_219	66	0	0
ASV_22	534	0	0
ASV_220	47	0	0
ASV_221	0	0	114
ASV_223	381	0	0
ASV_224	34	0	0
ASV_225	16	0	0
ASV_226	32	0	0
ASV_227	0	33	135
ASV_228	124	0	0
ASV_229	11	0	0
ASV_23	0	0	152
ASV_230	30	0	0
ASV_2304	0	0	8
ASV_233	47	0	0
ASV_236	0	0	88
ASV_2367	0	0	23
ASV_2379	0	0	6
ASV_239	31	0	6
ASV_24	0	0	1636
ASV_241	12	0	0
ASV_242	0	0	60
ASV_243	29	0	0
ASV_244	0	0	52
ASV_245	0	0	95
ASV_246	0	0	116
ASV_249	35	0	0
ASV_25	831	0	0
ASV_250	50	0	0
ASV_251	23	0	0
ASV_2528	0	0	5
ASV_253	44	0	0
ASV_254	10	0	0
ASV_255	0	0	113
ASV_256	43	0	0
ASV_257	0	0	122
ASV_258	28	0	0
ASV_259	0	0	126
ASV_2598	0	0	32
ASV_26	617	1413	0
ASV_260	0	0	40
ASV_262	44	0	0
ASV_263	53	0	0
ASV_264	25	0	0
ASV_2643	0	0	15
ASV_265	24	0	0
ASV_266	81	0	0
ASV_2677	0	0	11
ASV_27	728	0	0
ASV_271	7	0	0
ASV_272	21	0	0
ASV_273	0	0	130
ASV_276	0	0	71
ASV_278	47	0	0
ASV_285	0	4120	0
ASV_287	0	0	65
ASV_29	64	0	0
ASV_2909	141	0	0
ASV_291	11	0	0
ASV_292	28	0	0
ASV_294	33	0	0
ASV_2949	0	0	10
ASV_295	0	0	60
ASV_297	30	0	0
ASV_2977	0	0	5
ASV_298	27	0	0
ASV_299	57	0	0
ASV_3	4966	0	29
ASV_30	527	0	9
ASV_300	0	0	62
ASV_302	0	0	28
ASV_305	24	0	0
ASV_307	36	0	0
ASV_308	161	0	0
ASV_309	0	0	72
ASV_3091	0	0	2
ASV_311	0	0	61
ASV_312	15	0	0
ASV_314	0	0	35
ASV_315	0	0	83
ASV_316	0	0	45
ASV_319	0	0	280
ASV_323	97	0	0
ASV_3241	0	0	9
ASV_325	0	0	105
ASV_327	16	0	0
ASV_328	48	0	0
ASV_329	33	0	0
ASV_33	0	0	38
ASV_330	0	0	36
ASV_331	0	0	91
ASV_332	27	0	0
ASV_333	0	0	45
ASV_336	30	0	0
ASV_34	156	0	0
ASV_340	14	0	0
ASV_341	0	0	102
ASV_3429	0	3	0
ASV_343	0	0	39
ASV_345	0	0	31
ASV_35	305	0	0
ASV_350	26	0	0
ASV_3504	0	275	0
ASV_352	0	0	1079
ASV_355	0	0	44
ASV_357	7	0	0
ASV_358	0	0	18
ASV_3598	35	0	0
ASV_36	487	0	0
ASV_360	51	0	0
ASV_3606	1	0	0
ASV_3607	0	6299	0
ASV_3608	1228	2953	0
ASV_361	11	0	0
ASV_3610	1	0	0
ASV_362	0	0	16
ASV_3622	6	0	0
