	KP_Exp_8_D0_AVN3	KP_Exp_8_D0_OR_AVN3	KP_Exp_8_D8_AVN3
ASV_1	3706	326	3
ASV_10	53	8	0
ASV_100	9	0	0
ASV_101	17	0	0
ASV_1010	0	0	9
ASV_1028	0	0	5
ASV_1039	0	0	23
ASV_104	10	0	0
ASV_1051	8	0	0
ASV_1052	0	0	24
ASV_108	15	0	0
ASV_1086	0	0	31
ASV_109	975	42	33
ASV_1094	0	0	7
ASV_11	63	12	0
ASV_110	7	0	0
ASV_1102	0	0	12
ASV_1104	0	0	19
ASV_111	0	0	1799
ASV_112	36	0	0
ASV_1125	0	0	13
ASV_1127	0	0	8
ASV_1138	20	0	0
ASV_1150	0	0	19
ASV_1151	0	0	20
ASV_116	13	0	0
ASV_117	11	0	0
ASV_118	0	0	108
ASV_1188	0	0	10
ASV_1205	0	0	18
ASV_1214	0	0	17
ASV_1225	5	0	0
ASV_123	40	0	0
ASV_124	61	0	0
ASV_1241	0	0	12
ASV_1247	0	0	10
ASV_125	0	0	273
ASV_126	52	0	0
ASV_127	0	0	258
ASV_128	17	0	0
ASV_129	21	0	0
ASV_13	0	5	5565
ASV_1308	0	0	14
ASV_131	7	0	0
ASV_132	0	0	135
ASV_1320	0	0	9
ASV_134	15	0	0
ASV_135	30	13	0
ASV_1353	0	0	7
ASV_137	27	0	0
ASV_138	37	0	0
ASV_139	0	0	138
ASV_1392	15	0	0
ASV_14	0	0	12333
ASV_142	22	0	0
ASV_1423	0	0	15
ASV_1427	0	0	7
ASV_1448	0	0	20
ASV_145	0	0	28
ASV_1474	0	0	5
ASV_148	16	10	0
ASV_149	25	0	0
ASV_1496	0	0	18
ASV_15	1498	86	0
ASV_1503	0	0	150
ASV_1509	0	0	10
ASV_153	0	0	297
ASV_154	11	0	0
ASV_1545	0	0	34
ASV_1554	0	0	8
ASV_1577	0	0	143
ASV_158	13	0	0
ASV_159	0	0	4958
ASV_16	604	14	0
ASV_160	169	20	0
ASV_1613	0	0	6
ASV_162	11	0	0
ASV_1623	0	0	8
ASV_167	0	0	272
ASV_1675	0	0	85
ASV_1678	0	0	6
ASV_168	0	0	85
ASV_1681	0	0	5
ASV_17	90	0	0
ASV_170	6	0	0
ASV_1700	0	0	9
ASV_171	25	0	0
ASV_1728	0	0	24
ASV_173	0	0	147
ASV_174	23	0	0
ASV_176	19	0	0
ASV_177	0	0	70
ASV_1775	0	0	22
ASV_18	514	12	0
ASV_180	0	0	104
ASV_1801	0	0	6
ASV_181	0	0	49
ASV_1814	462	127	0
ASV_182	22	0	0
ASV_1823	0	0	11
ASV_183	0	9	0
ASV_185	0	0	192
ASV_187	464	0	24
ASV_1892	0	0	36
ASV_19	862	91	0
ASV_1908	0	0	10
ASV_1938	0	0	16
ASV_194	14	0	0
ASV_1944	0	0	12
ASV_1950	0	0	11
ASV_197	0	0	94
ASV_2	4434	1365	177
ASV_20	335	0	0
ASV_200	0	0	306
ASV_201	0	0	37
ASV_202	34	0	0
ASV_203	0	0	90
ASV_2043	0	0	5
ASV_2060	0	0	8
ASV_208	0	0	27
ASV_2082	0	0	158
ASV_2085	0	0	10
ASV_209	4	0	0
ASV_2109	0	0	26
ASV_211	7	0	0
ASV_214	20	0	0
ASV_215	0	0	67
ASV_2171	0	0	15
ASV_22	55	6	0
ASV_220	21	4	0
ASV_221	0	0	74
ASV_223	59	0	0
ASV_2252	0	0	7
ASV_2254	0	0	3
ASV_227	0	0	52
ASV_228	17	0	0
ASV_229	18	0	0
ASV_23	0	0	192
ASV_2303	0	0	7
ASV_233	6	0	0
ASV_2345	0	0	5
ASV_2393	0	0	36
ASV_24	0	0	475
ASV_242	0	0	92
ASV_243	5	0	0
ASV_244	0	0	72
ASV_245	0	0	86
ASV_246	0	0	161
ASV_2463	0	0	40
ASV_2497	0	0	15
ASV_25	80	5	0
ASV_250	31	0	0
ASV_251	19	7	0
ASV_2543	0	0	24
ASV_255	0	0	35
ASV_257	0	0	45
ASV_258	4	0	0
ASV_259	0	0	152
ASV_2598	0	0	9
ASV_26	342	81	0
ASV_260	0	0	77
ASV_262	5	0	0
ASV_263	7	0	0
ASV_268	0	0	13
ASV_27	61	0	0
ASV_2717	0	0	6
ASV_273	0	0	144
ASV_276	0	0	91
ASV_278	21	0	0
ASV_280	30	0	0
ASV_281	11	0	0
ASV_2818	0	0	10
ASV_282	0	0	17
ASV_285	0	0	87
ASV_286	0	0	82
ASV_2867	0	0	2
ASV_29	328	11	0
ASV_290	5	0	0
ASV_2909	8	9	0
ASV_295	0	0	84
ASV_297	6	3	0
ASV_3	17178	132	11
ASV_30	44	0	8
ASV_302	0	0	30
ASV_307	97	0	0
ASV_308	59	0	0
ASV_309	0	0	19
ASV_312	11	0	0
ASV_3131	0	0	12
ASV_314	0	0	33
ASV_3141	0	0	18
ASV_315	0	0	211
ASV_316	0	0	41
ASV_319	0	0	328
ASV_32	27	0	0
ASV_320	20	0	0
ASV_3212	0	0	3
ASV_3241	0	7	0
ASV_3245	0	4	0
ASV_325	0	0	19
ASV_329	94	0	0
ASV_33	0	12	74
ASV_330	0	0	44
ASV_331	0	0	17
ASV_332	11	0	0
ASV_333	0	0	44
