	F_Day_0_Abx_A	O_Day_0_Abx_A	O_Day_7_Abx_A	F_Day_3_Abx_A	F_Day_7_Abx_A	O_Day_3_Abx_A
ASV_10	0	0	0	0	14	0
ASV_10000	0	106	0	0	0	0
ASV_10003	0	297	0	0	0	0
ASV_10011	0	0	14	57	0	0
ASV_10032	0	0	4	0	0	0
ASV_10089	0	0	0	0	0	242
ASV_10113	0	0	0	0	0	218
ASV_10117	0	0	0	215	0	0
ASV_10120	0	0	0	0	0	239
ASV_10134	7	0	0	0	0	0
ASV_10141	0	0	0	0	0	16
ASV_10146	0	0	2	0	0	0
ASV_10180	0	0	0	136	0	0
ASV_10185	0	0	0	193	0	0
ASV_10191	0	0	0	0	2	0
ASV_10197	0	0	0	0	0	8
ASV_10204	0	0	0	0	25	0
ASV_10222	0	166	0	0	0	0
ASV_10227	0	0	2	0	0	0
ASV_10238	0	149	0	0	0	0
ASV_10240	0	0	0	158	0	0
ASV_10249	0	0	0	165	0	0
ASV_10253	0	0	0	0	0	71
ASV_10259	0	0	0	157	0	0
ASV_1026	12	0	0	0	0	0
ASV_10260	0	0	0	110	0	0
ASV_10273	0	0	0	146	0	0
ASV_10275	0	0	5	0	0	0
ASV_10276	0	0	0	0	2	0
ASV_10277	0	0	0	50	0	0
ASV_10331	0	0	0	124	0	0
ASV_10332	0	0	0	49	0	0
ASV_10346	0	0	0	127	0	0
ASV_10359	0	0	0	0	0	124
ASV_10361	0	0	0	118	0	0
ASV_10373	0	0	0	128	0	0
ASV_10377	0	0	0	0	2	0
ASV_10399	0	0	0	2	0	0
ASV_104	631	0	0	1474	87	0
ASV_10404	0	0	0	109	0	0
ASV_10435	0	108	0	0	0	0
ASV_10439	0	0	0	104	0	0
ASV_10440	0	0	0	57	0	0
ASV_10445	0	1	0	0	5	0
ASV_10451	0	0	0	59	0	0
ASV_10454	0	0	0	0	3	0
ASV_10465	0	0	0	127	0	0
ASV_10472	0	29	0	0	0	0
ASV_10478	0	0	0	81	0	0
ASV_10486	0	0	0	102	0	0
ASV_10487	0	0	0	88	0	0
ASV_10494	0	0	0	82	0	0
ASV_10495	0	0	0	79	0	0
ASV_10502	0	0	0	105	0	0
ASV_1051	63	0	0	20	0	0
