	F_Day_0_Abx_D	O_Day_0_Abx_D	O_Day_7_Abx_D	F_Day_7_Abx_D	F_Day_3_Abx_D
ASV_100	87	0	0	0	0
ASV_10000	0	5	0	0	0
ASV_10011	0	0	8	0	0
ASV_10015	0	0	29	223	0
ASV_10061	6	0	0	0	0
ASV_10191	0	0	0	217	0
ASV_10252	0	13	12	0	0
ASV_1026	30	0	0	0	0
ASV_10268	0	0	0	146	0
ASV_10276	0	0	0	155	0
ASV_1030	24	0	0	0	0
ASV_1031	26	0	0	0	0
ASV_10337	0	26	0	0	0
ASV_10377	0	0	0	132	0
ASV_10385	0	0	0	105	0
ASV_104	1307	0	0	0	4
ASV_10433	2	0	0	0	0
ASV_10454	0	0	0	96	0
ASV_10504	0	0	0	53	0
ASV_10505	0	0	0	101	0
ASV_10554	0	0	0	88	0
ASV_1056	197	0	0	0	0
ASV_10560	0	0	0	2	0
ASV_10574	0	0	0	84	0
ASV_106	856	0	0	0	0
ASV_10610	42	0	0	0	0
ASV_10623	0	0	0	82	0
ASV_10633	0	0	0	98	0
ASV_10658	0	0	0	63	0
ASV_10659	0	0	0	76	0
ASV_107	254	0	0	0	0
ASV_10706	0	0	0	64	0
ASV_10707	0	0	0	65	0
ASV_10728	0	0	0	35	0
ASV_1073	29	0	0	0	0
ASV_10732	0	0	0	2	0
ASV_10752	1	0	0	0	0
ASV_108	17	0	0	0	0
ASV_10833	9	0	0	0	0
ASV_10838	0	3	0	0	0
ASV_10843	0	0	0	52	0
ASV_10889	0	0	0	26	0
ASV_10890	0	0	0	26	0
ASV_109	734	183	0	0	0
ASV_10916	0	0	0	25	0
ASV_10917	0	0	0	43	0
ASV_10940	0	0	46	0	0
ASV_10961	19	0	0	0	0
ASV_10999	0	0	0	48	0
ASV_11	451	0	0	0	0
ASV_110	79	0	0	0	0
ASV_11035	0	28	0	0	0
ASV_11064	0	0	0	44	0
ASV_11088	4	0	0	0	0
ASV_111	0	48	0	0	0
ASV_11150	0	0	0	33	0
ASV_112	861	0	0	0	0
ASV_11209	15	0	0	0	0
ASV_1121	32	0	0	0	0
ASV_11276	0	0	0	28	0
ASV_11277	0	0	0	26	0
ASV_11282	0	27	0	0	0
ASV_113	22	0	0	2	22
ASV_11325	0	0	0	22	0
ASV_11330	0	12	0	0	0
ASV_11331	0	27	0	0	0
ASV_11379	0	11	0	0	0
ASV_1138	272	0	0	0	0
ASV_11421	0	0	0	14	0
ASV_11425	0	10	0	0	0
ASV_11467	0	19	0	0	0
ASV_11468	0	13	0	0	0
ASV_115	694	0	0	0	5
ASV_11530	0	15	0	0	0
ASV_11582	0	0	0	7	0
ASV_11585	0	10	0	0	0
ASV_116	1548	0	0	0	0
ASV_11611	0	0	7	0	0
ASV_11613	0	0	7	0	0
ASV_11623	0	0	0	0	2
ASV_11634	0	0	0	6	0
ASV_11635	0	0	0	6	0
ASV_11636	0	0	0	6	0
ASV_11642	0	13	0	0	0
ASV_11643	0	6	0	0	0
ASV_11677	0	0	6	0	0
ASV_11678	0	0	13	0	0
ASV_1169	4	0	0	0	0
ASV_117	194	0	0	0	0
ASV_11708	0	9	0	0	0
ASV_11709	0	8	0	0	0
ASV_11710	0	9	0	0	0
ASV_11711	0	5	0	0	0
ASV_11758	0	0	5	0	0
ASV_11777	4	0	0	0	0
ASV_11778	7	0	0	0	0
ASV_1178	0	0	0	111	0
ASV_11794	0	7	0	0	0
ASV_1185	0	0	0	25	0
ASV_11852	3	0	0	0	0
ASV_11853	3	0	0	0	0
ASV_11880	0	5	0	0	0
ASV_11882	0	3	0	0	0
ASV_119	631	0	0	4	6
ASV_11941	2	0	0	0	0
ASV_11961	0	0	0	2	0
ASV_11962	0	0	0	2	0
ASV_11968	0	4	0	0	0
ASV_11993	0	0	2	0	0
ASV_11994	0	0	2	0	0
ASV_12027	0	1	0	0	0
ASV_12064	12	0	0	0	0
ASV_12085	13	0	0	0	0
