	F_Day_0_Abx_E	O_Day_0_Abx_E	O_Day_3_Abx_E	F_Day_7_Abx_E	O_Day_7_Abx_E	F_Day_3_Abx_E
ASV_10	62	0	0	0	0	0
ASV_100	60	0	0	0	0	0
ASV_10000	0	0	0	0	146	0
ASV_10009	0	98	0	0	0	0
ASV_10011	0	0	0	0	0	54
ASV_10065	0	137	0	0	0	0
ASV_10076	0	252	0	0	0	0
ASV_10082	0	251	0	0	0	0
ASV_101	46	0	0	0	0	0
ASV_10129	0	90	0	0	122	0
ASV_10134	2	0	0	0	0	0
ASV_10139	0	0	0	0	0	1
ASV_10156	0	0	23	0	0	0
ASV_10165	0	219	0	0	0	0
ASV_10170	0	0	0	0	0	79
ASV_10172	0	5	0	0	0	0
ASV_10176	0	186	0	0	0	0
ASV_10187	0	182	0	0	0	0
ASV_10202	0	163	0	0	0	0
ASV_10209	0	130	0	0	0	0
ASV_10221	0	0	0	0	0	31
ASV_10253	0	63	0	0	0	0
ASV_1026	7	0	0	0	0	0
ASV_10264	0	146	0	0	0	0
ASV_10277	0	0	65	0	0	0
ASV_10282	0	162	0	0	0	0
ASV_10291	0	63	0	0	0	0
ASV_10292	0	67	0	0	0	0
ASV_10295	0	103	0	0	0	0
ASV_10311	0	154	0	0	0	0
ASV_10323	0	0	0	0	0	146
ASV_10332	0	0	0	0	0	8
ASV_10337	0	12	34	0	0	0
ASV_10338	0	133	0	0	0	0
ASV_10339	0	74	62	0	0	0
ASV_10341	0	0	0	0	0	160
ASV_10357	0	131	0	0	0	0
ASV_10381	0	135	0	0	0	0
ASV_10386	0	119	0	0	0	0
ASV_104	391	0	0	17	0	226
ASV_10402	0	114	0	0	0	0
ASV_10408	0	65	0	0	0	0
ASV_10415	0	0	0	0	0	64
ASV_10433	0	0	0	0	0	1
ASV_10437	0	130	0	0	0	0
ASV_10467	0	110	0	0	0	0
ASV_10468	0	16	0	0	0	0
ASV_10472	0	2	0	0	0	0
ASV_10473	0	98	0	0	0	0
ASV_1048	0	50	0	0	0	0
ASV_10490	0	0	0	0	0	109
ASV_10498	0	97	0	0	0	0
ASV_10513	0	0	5	0	0	0
ASV_10514	0	52	0	0	0	0
ASV_10515	0	54	0	0	0	0
ASV_10524	0	99	0	0	0	0
ASV_10525	0	51	0	0	0	0
ASV_10526	0	105	0	0	0	0
ASV_10527	0	84	0	0	15	0
ASV_10534	0	0	0	0	0	81
ASV_10535	0	0	0	0	0	77
ASV_10536	0	0	0	0	0	86
ASV_10538	0	81	0	0	0	0
ASV_10539	0	50	0	0	0	0
ASV_10541	0	0	20	0	0	0
ASV_10548	0	0	0	0	0	74
ASV_10549	0	78	0	0	0	0
ASV_10559	0	0	0	0	0	80
ASV_1056	190	0	0	0	0	143
ASV_10570	0	0	0	0	0	79
ASV_10571	0	0	0	0	0	66
ASV_10572	0	0	0	0	0	91
ASV_10578	0	46	0	0	0	0
ASV_10585	0	18	0	0	0	0
ASV_10586	0	0	0	0	0	45
ASV_10589	0	74	0	0	0	0
ASV_10598	0	79	0	0	0	0
ASV_106	96	0	0	4	0	127
ASV_10603	0	0	0	0	0	16
ASV_10621	0	0	0	0	0	76
ASV_10622	0	0	0	0	0	72
ASV_10627	0	79	0	0	0	0
ASV_10632	0	0	0	0	0	70
ASV_10635	0	74	0	0	0	0
ASV_10636	0	76	0	0	0	0
ASV_10637	0	69	0	0	0	0
ASV_10638	0	68	0	0	0	0
ASV_10657	0	8	0	0	0	25
ASV_10660	0	76	0	0	0	0
ASV_10669	8	0	0	0	0	0
ASV_10674	0	0	0	0	0	58
ASV_10675	0	0	0	0	0	60
ASV_10676	0	0	0	0	0	75
ASV_10677	0	0	0	0	0	61
ASV_10681	0	37	0	0	0	0
ASV_10693	0	0	0	0	0	63
ASV_107	19	0	0	0	0	0
ASV_10711	0	64	0	0	0	0
ASV_10725	0	0	0	0	0	61
ASV_10726	0	0	0	0	0	51
ASV_10727	0	0	0	0	0	51
ASV_1073	13	0	0	0	0	0
ASV_10752	2	0	0	0	0	4
ASV_10756	0	0	0	0	0	17
ASV_10757	0	0	0	0	0	58
ASV_10759	0	62	0	0	0	0
ASV_10768	0	0	0	0	0	63
ASV_10772	0	60	0	0	0	0
ASV_10773	0	58	0	0	0	0
ASV_10775	0	31	0	0	0	0
ASV_10776	0	31	0	0	0	0
ASV_1078	0	0	7	0	0	0
ASV_10782	0	0	59	0	0	0
ASV_1079	0	0	0	0	0	36
ASV_10793	0	0	0	0	0	53
ASV_10794	0	0	0	0	0	30
ASV_10800	0	60	0	0	0	0
ASV_10801	0	55	0	0	0	0
ASV_10802	0	47	0	0	0	0
ASV_10806	0	0	49	0	0	0
ASV_10807	0	0	34	0	0	0
ASV_10824	0	0	0	0	0	50
ASV_10825	0	0	0	0	0	44
ASV_10826	0	44	0	0	0	0
ASV_10832	0	0	0	0	58	0
ASV_10833	0	0	0	0	0	39
ASV_1084	46	0	0	0	0	89
ASV_10841	0	0	0	0	0	51
ASV_10842	0	0	0	0	0	42
ASV_10845	0	52	0	0	0	0
ASV_10846	0	50	0	0	0	0
ASV_10850	0	0	20	0	0	0
ASV_10862	0	39	0	0	0	0
ASV_10863	0	49	0	0	0	0
ASV_10864	0	60	0	0	0	0
ASV_10866	0	15	0	0	0	0
ASV_10888	0	0	0	0	0	47
ASV_10894	0	26	0	0	0	0
