	F_Day_0_Control_A	O_Day_0_Control_A	F_Day_7_Control_A	O_Day_7_Control_A	O_Day_3_Control_A	F_Day_3_Control_A
ASV_10014	0	0	0	0	322	0
ASV_10015	0	0	0	29	37	0
ASV_1002	0	0	0	0	12	0
ASV_10021	0	245	0	0	0	0
ASV_10025	0	321	0	0	0	0
ASV_10048	0	312	0	0	0	0
ASV_10056	0	0	0	0	283	0
ASV_10059	0	0	0	0	286	0
ASV_10080	0	259	0	0	0	0
ASV_10097	0	228	0	0	0	0
ASV_10103	0	0	0	0	220	0
ASV_10145	0	0	0	0	218	0
ASV_10150	0	0	0	0	227	0
ASV_10157	0	0	0	0	207	0
ASV_10169	0	0	0	0	202	0
ASV_10172	0	0	0	0	192	0
ASV_10204	19	0	30	0	0	0
ASV_1026	0	0	15	0	0	31
ASV_10272	0	87	0	0	0	0
ASV_10291	0	0	0	0	62	0
ASV_10296	0	151	0	0	0	0
ASV_1030	6	0	0	0	0	0
ASV_10304	0	164	0	0	0	0
ASV_10321	0	0	0	0	131	0
ASV_10322	0	0	0	13	0	0
ASV_10326	0	0	0	0	134	0
ASV_10368	0	146	0	0	0	0
ASV_10371	0	0	0	0	122	0
ASV_10397	0	0	0	0	116	0
ASV_10399	0	0	14	0	0	0
ASV_104	320	0	113	0	0	573
ASV_10428	0	0	0	0	109	0
ASV_10429	0	0	0	0	114	0
ASV_10433	1	0	0	0	0	0
ASV_10445	0	0	0	0	2	0
ASV_10482	0	99	0	0	0	0
ASV_10507	0	53	0	0	0	0
ASV_1051	6	0	0	0	0	6
ASV_1052	0	0	0	0	14	0
ASV_1056	0	0	43	0	0	31
ASV_10560	0	87	0	0	0	0
ASV_10563	0	86	0	0	0	0
ASV_10580	0	0	0	19	0	0
ASV_106	29	0	22	0	0	87
ASV_10614	0	0	0	9	0	0
ASV_10645	0	0	0	7	0	0
ASV_10654	0	0	0	0	72	0
ASV_10657	0	0	0	0	35	0
ASV_10664	0	0	0	0	68	0
ASV_10669	0	0	0	0	0	10
ASV_10678	0	0	0	0	0	14
ASV_107	109	0	13	0	0	92
ASV_10719	0	0	0	0	63	0
ASV_10722	0	0	2	0	0	0
ASV_1073	24	0	28	0	0	10
ASV_10760	0	62	0	0	0	0
ASV_10777	0	0	0	0	30	0
ASV_1084	31	0	16	0	0	66
ASV_10851	0	0	0	0	60	0
ASV_10873	0	0	0	0	48	0
ASV_109	461	0	184	92	2680	290
ASV_10950	0	0	0	2	0	0
ASV_10961	11	0	0	0	0	0
ASV_11	23	0	151	0	271	60
ASV_110	0	0	0	0	84	0
ASV_11022	2	0	3	0	0	5
ASV_11031	0	0	0	0	0	21
