	F_Day_0_Control_C	O_Day_0_Control_C	F_Day_7_Control_C	O_Day_7_Control_C	O_Day_3_Control_C	F_Day_3_Control_C
ASV_100	9	0	7	0	0	111
ASV_10000	0	0	0	0	51	0
ASV_10018	0	0	0	104	0	0
ASV_10032	0	0	0	290	0	0
ASV_10034	0	14	0	244	0	0
ASV_10041	0	0	0	260	0	0
ASV_10065	0	111	0	0	0	0
ASV_10073	0	0	0	278	0	0
ASV_10074	0	0	0	260	0	0
ASV_10086	0	0	0	247	0	0
ASV_10139	2	0	4	0	0	10
ASV_10146	0	0	0	199	0	0
ASV_10180	0	0	0	0	56	0
ASV_10204	0	0	0	0	0	1
ASV_10216	0	0	0	178	0	0
ASV_10227	0	0	0	165	0	0
ASV_10258	0	0	0	156	0	0
ASV_1026	0	0	36	0	0	108
ASV_10265	0	48	0	0	116	0
ASV_10292	0	64	0	0	0	0
ASV_10298	0	0	0	0	156	0
ASV_10301	0	0	0	145	0	0
ASV_10318	0	4	0	102	0	0
ASV_10340	0	23	0	0	0	0
ASV_10360	0	0	0	136	0	0
ASV_10399	0	0	0	0	2	0
ASV_104	199	0	266	0	0	2798
ASV_10405	0	0	0	35	23	0
ASV_10411	0	0	0	127	0	0
ASV_10430	0	0	0	0	92	0
ASV_10432	0	0	0	104	0	0
ASV_10433	0	0	1	0	0	1
ASV_10445	0	0	0	13	0	0
ASV_10462	0	0	0	0	115	0
ASV_10472	0	23	0	0	4	0
ASV_10475	0	0	0	0	103	0
ASV_10499	0	0	0	80	0	0
ASV_1051	5	0	0	0	0	0
ASV_1052	0	66	0	0	20	0
ASV_10541	0	65	0	0	0	0
ASV_10550	0	82	0	0	0	0
ASV_10551	0	0	0	82	0	0
ASV_10556	0	0	0	0	18	0
ASV_10579	0	76	0	0	0	0
ASV_10599	0	2	0	0	0	0
ASV_106	4	0	31	0	0	145
ASV_10602	0	41	0	0	0	0
ASV_10603	0	26	0	0	0	0
ASV_10605	0	0	0	0	10	0
ASV_10609	0	0	0	83	0	0
ASV_10616	0	0	0	0	77	0
ASV_10647	0	70	0	0	0	0
ASV_10648	0	62	0	0	0	0
ASV_10666	0	0	0	0	70	0
ASV_10669	0	0	0	0	0	18
ASV_10682	0	66	0	0	0	0
ASV_10683	0	54	0	0	0	0
ASV_10690	2	0	0	0	0	0
ASV_10696	0	60	0	0	0	0
ASV_107	31	0	16	0	0	126
ASV_10713	0	0	0	27	0	0
ASV_10722	0	0	0	0	1	7
ASV_1073	2	0	15	0	0	0
ASV_10732	0	28	0	0	0	0
ASV_10735	0	0	0	0	66	0
ASV_10745	0	52	0	0	0	0
ASV_10749	0	0	0	58	0	0
ASV_10761	0	55	0	0	0	0
ASV_10764	0	0	0	0	62	0
ASV_10776	0	0	0	0	34	0
ASV_10777	0	17	0	0	0	0
ASV_10784	0	0	0	0	52	0
ASV_10785	0	0	0	0	59	0
ASV_1084	0	0	26	0	0	5
ASV_10847	0	28	0	0	0	0
ASV_10848	0	29	0	0	0	0
ASV_10850	0	0	0	0	22	0
ASV_10852	0	0	0	0	43	0
ASV_10854	0	0	0	0	52	0
ASV_10859	0	0	0	13	0	0
ASV_10866	0	51	0	0	0	0
ASV_10874	0	0	0	0	46	0
ASV_10875	0	0	0	0	50	0
ASV_10879	0	0	0	44	0	0
ASV_109	41	0	26	0	311	292
ASV_10901	0	42	0	0	0	0
ASV_10909	0	0	0	0	43	0
ASV_10913	0	0	0	52	0	0
ASV_10926	0	48	0	0	0	0
ASV_10927	0	52	0	0	0	0
ASV_10928	0	28	0	0	0	0
ASV_1093	0	0	0	0	24	0
ASV_10938	0	0	0	0	48	0
ASV_10960	0	0	0	58	0	0
ASV_10986	0	0	0	0	23	0
ASV_11	36	69	81	0	1466	500
ASV_11010	0	22	0	0	0	0
ASV_11018	0	0	0	0	40	0
ASV_11022	0	0	0	0	1	1
ASV_11040	0	28	0	0	0	0
ASV_11046	0	0	0	0	39	0
ASV_11047	0	0	0	0	31	0
ASV_11048	0	0	0	0	47	0
ASV_11071	0	20	0	0	0	0
ASV_11072	0	32	0	0	0	0
ASV_11080	0	0	0	0	36	0
ASV_11088	2	0	0	0	0	0
ASV_111	0	34	0	0	0	0
ASV_11100	0	0	0	0	18	0
ASV_11102	0	0	0	0	16	0
ASV_11103	0	34	0	0	0	0
ASV_11114	0	0	0	0	38	0
ASV_11133	0	18	0	0	0	0
ASV_11136	0	0	0	0	29	0
ASV_11138	0	0	0	0	37	0
ASV_11154	0	17	0	0	0	0
ASV_11155	0	24	0	0	0	0
ASV_11156	0	32	0	0	0	0
ASV_11161	0	0	0	0	35	0
ASV_11162	0	0	0	0	31	0
ASV_11163	0	0	0	0	34	0
ASV_11164	0	0	0	0	26	0
ASV_11186	0	31	0	0	0	0
ASV_11188	0	16	0	0	0	0
ASV_11189	0	11	0	0	0	0
ASV_112	0	0	0	0	10	85
ASV_11201	0	0	0	0	24	0
ASV_11202	0	0	0	0	27	0
ASV_11206	0	0	0	0	7	0
ASV_11213	0	0	0	0	0	4
ASV_11226	0	29	0	0	0	0
ASV_11234	0	0	0	20	0	0
ASV_11235	0	0	0	15	0	0
ASV_11275	0	0	1	0	0	2
ASV_11284	0	26	0	0	0	0
ASV_11285	0	13	0	0	0	0
ASV_11286	0	13	0	0	0	0
ASV_11287	0	17	0	0	0	0
ASV_113	264	0	1893	0	0	109
ASV_11304	0	0	0	0	24	0
ASV_11305	0	0	0	0	33	0
ASV_11306	0	0	0	0	21	0
ASV_11315	0	16	0	0	0	0
ASV_11335	0	25	0	0	0	0
ASV_11336	0	19	0	0	0	0
ASV_11352	0	0	0	0	22	0
ASV_1137	0	31	0	0	0	0
ASV_1138	20	0	23	523	0	43
ASV_11386	0	18	0	0	0	0
ASV_11387	0	11	0	0	0	0
ASV_11400	0	0	0	0	25	0
ASV_11401	0	0	0	0	11	0
ASV_11402	0	0	0	0	11	0
ASV_11403	0	0	0	0	23	0
ASV_11432	0	10	0	0	0	0
ASV_11433	0	18	0	0	0	0
ASV_11435	0	25	0	0	0	0
ASV_11436	0	10	0	0	0	0
ASV_11445	0	0	0	0	20	0
ASV_11446	0	0	0	0	17	0
ASV_11447	0	0	0	0	10	0
ASV_11448	0	0	0	0	22	0
ASV_11465	0	0	0	0	0	9
ASV_11473	0	18	0	0	0	0
ASV_11474	0	15	0	0	0	0
ASV_11476	0	9	0	0	0	0
ASV_11477	0	14	0	0	0	0
ASV_1148	0	0	6	0	43	0
