	F_Day_0_DSS_B	O_Day_0_DSS_B	F_Day_3_DSS_B	F_Day_7_DSS_B	O_Day_7_DSS_B	O_Day_3_DSS_B
ASV_100	13	0	0	0	0	0
ASV_10018	0	0	0	0	0	219
ASV_10021	0	12	0	0	0	0
ASV_10035	0	293	0	0	0	0
ASV_10053	0	279	0	0	0	0
ASV_10066	0	256	0	0	0	0
ASV_10085	0	0	0	0	0	230
ASV_10105	0	131	0	0	0	0
ASV_10131	0	0	0	0	0	216
ASV_10139	1	0	6	7	0	0
ASV_10161	0	227	0	0	0	0
ASV_10167	0	197	0	0	0	0
ASV_10189	0	191	0	0	0	0
ASV_10204	38	0	0	0	0	0
ASV_10243	0	160	0	0	0	0
ASV_10252	0	78	0	0	0	0
ASV_1026	0	0	16	0	0	0
ASV_10283	0	85	0	0	0	0
ASV_10291	0	28	0	0	0	0
ASV_10292	0	23	0	0	0	0
ASV_10295	0	0	0	0	29	0
ASV_10297	0	144	0	0	0	0
ASV_10305	0	146	0	0	0	0
ASV_10328	0	0	0	0	0	118
ASV_10340	0	0	0	0	70	0
ASV_10350	0	126	0	0	0	0
ASV_10362	0	124	0	0	0	0
ASV_104	247	0	23	0	0	11
ASV_10443	0	0	0	0	69	0
ASV_10445	0	3	0	0	0	0
ASV_10449	0	109	0	0	0	0
ASV_10456	0	0	0	0	3	0
ASV_10459	0	105	0	0	0	0
ASV_10470	0	0	0	0	0	95
ASV_10473	0	0	0	0	2	0
ASV_10499	0	5	0	0	0	0
ASV_1051	2	0	0	0	0	0
ASV_10545	0	0	0	0	40	0
ASV_10556	0	77	0	0	0	0
ASV_10557	0	0	0	0	0	23
ASV_1056	0	0	9	7	0	0
ASV_106	10	0	6	0	0	0
ASV_10613	0	70	0	0	0	0
ASV_10640	0	63	0	0	0	0
ASV_10649	0	65	0	0	0	0
ASV_10665	0	0	0	0	58	0
ASV_10678	0	0	0	9	0	0
ASV_10689	0	0	0	0	37	0
ASV_107	3	0	5	6	0	0
ASV_10713	0	21	0	0	0	0
ASV_10722	1	0	0	0	0	0
ASV_1073	2	0	0	0	0	0
ASV_10750	0	0	0	0	60	0
ASV_10765	0	0	0	0	56	0
ASV_10778	0	56	0	0	0	0
ASV_10779	0	54	0	0	0	0
ASV_10792	0	0	0	0	41	0
ASV_108	0	506	0	0	0	0
ASV_10805	0	30	0	0	0	0
ASV_10810	0	0	0	0	0	30
ASV_1084	17	0	0	12	0	0
ASV_10848	0	17	0	0	0	0
ASV_109	265	0	50	319	1587	0
ASV_10902	0	38	0	0	0	0
ASV_10939	0	0	0	0	0	43
ASV_10958	0	0	0	0	0	52
ASV_10982	0	39	0	0	0	0
ASV_10983	0	37	0	0	0	0
ASV_10988	0	0	0	0	0	47
ASV_10991	0	0	0	0	40	0
ASV_11	356	313	16	0	0	0
ASV_110	8	0	0	0	0	0
ASV_11022	2	0	0	0	0	0
ASV_11032	0	0	0	46	0	0
ASV_11049	0	0	0	0	0	38
ASV_11055	0	0	0	0	37	0
ASV_11074	0	35	0	0	0	0
ASV_11081	0	0	0	0	0	42
ASV_11082	0	0	0	0	0	39
ASV_11100	0	0	0	0	10	0
ASV_11142	0	0	0	0	34	0
ASV_11169	0	0	0	0	17	0
ASV_11189	0	0	0	0	4	0
ASV_11190	0	28	0	0	0	0
ASV_11191	0	31	0	0	0	0
ASV_112	0	0	13	0	12	0
ASV_11204	0	0	0	0	0	30
ASV_11205	0	0	0	0	0	28
ASV_11206	0	0	0	0	0	18
ASV_11208	0	0	0	0	26	0
ASV_11210	0	0	8	0	0	0
ASV_11239	0	0	0	0	33	0
ASV_11268	0	0	0	0	23	0
ASV_11269	0	0	0	2	0	0
ASV_11275	1	0	1	1	0	0
ASV_11289	0	13	0	0	0	0
ASV_113	340	0	59	131	23	1154
ASV_11321	0	0	0	0	0	3
ASV_11359	0	0	0	0	18	0
ASV_1138	78	0	1	30	20	0
ASV_11388	0	25	0	0	0	0
ASV_11452	0	0	0	0	15	0
ASV_11453	0	0	0	0	14	0
ASV_11479	0	9	0	0	0	0
ASV_11480	0	0	0	0	4	0
ASV_115	34	0	162	59	0	0
ASV_11510	0	0	0	0	12	0
ASV_11512	0	0	0	0	17	0
ASV_11545	0	16	0	0	0	0
ASV_11546	0	15	0	0	0	0
ASV_11557	0	0	0	0	0	18
ASV_11568	0	0	0	0	8	0
ASV_116	30	0	8	28	0	0
ASV_11620	0	0	0	0	15	0
ASV_11689	0	0	0	0	15	0
ASV_1169	14	0	10	0	0	0
ASV_117	9	0	0	11	0	0
ASV_11725	0	5	0	0	0	0
ASV_11750	0	0	0	0	0	16
ASV_11760	0	17	0	0	0	0
ASV_11766	0	0	0	0	11	0
ASV_11767	0	0	0	0	7	0
ASV_11768	0	0	0	0	11	0
ASV_11769	0	0	0	0	10	0
ASV_11770	0	0	0	0	10	0
ASV_11790	0	0	0	4	0	0
ASV_11845	0	0	0	0	4	0
ASV_11846	0	0	0	0	13	0
ASV_11847	0	0	0	0	4	0
ASV_11877	0	0	0	3	0	0
ASV_1188	0	0	0	0	0	61
ASV_119	1364	0	2987	1113	0	0
ASV_11922	0	0	0	0	3	0
ASV_11924	0	0	0	0	3	0
ASV_11925	0	0	0	0	11	0
ASV_11926	0	0	0	0	8	0
ASV_11927	0	0	0	0	3	0
ASV_11980	0	2	0	0	0	0
ASV_11981	0	2	0	0	0	0
ASV_11982	0	2	0	0	0	0
ASV_12003	0	0	0	0	13	0
ASV_12012	1	0	0	0	0	0
ASV_12033	0	0	0	0	1	0
ASV_12043	0	0	0	0	18	0
ASV_12049	0	36	0	0	0	0
ASV_12068	0	0	0	0	0	19
ASV_121	72	0	39	0	0	0
ASV_12102	0	10	0	0	0	0
ASV_12109	0	0	0	1	0	0
ASV_1212	0	149	0	0	0	0
ASV_12156	0	0	0	0	0	5
ASV_12159	0	0	0	0	5	0
ASV_12187	0	0	0	0	4	0
ASV_122	0	0	0	151	0	0
ASV_12222	0	0	0	0	3	0
ASV_12248	0	2	0	0	0	0
ASV_1225	4	0	0	29	0	0
ASV_12271	1	0	0	0	0	0
ASV_12280	0	0	1	0	0	0
ASV_12289	0	1	0	0	0	0
