	F_Day_0_DSS_D	O_Day_0_DSS_D	O_Day_3_DSS_D	F_Day_7_DSS_D	F_Day_3_DSS_D	O_Day_7_DSS_D
ASV_100	8	0	0	21	44	0
ASV_10009	0	191	0	0	0	0
ASV_10011	0	96	25	0	0	0
ASV_101	0	0	0	19	0	192
ASV_10111	0	231	0	0	0	0
ASV_10124	0	197	0	0	0	0
ASV_10125	0	0	237	0	0	0
ASV_10139	10	0	0	8	114	17
ASV_10156	0	0	155	0	0	0
ASV_10172	0	0	0	0	0	5
ASV_10192	0	105	0	0	0	0
ASV_10193	0	178	0	0	0	0
ASV_10204	0	0	0	26	13	3
ASV_10215	0	0	176	0	0	0
ASV_10237	0	0	173	0	0	0
ASV_10253	0	0	12	0	0	0
ASV_1026	0	0	0	199	71	255
ASV_10313	0	0	118	0	0	0
ASV_10329	0	0	137	0	0	0
ASV_10333	0	0	0	0	0	46
ASV_10337	0	8	28	0	0	0
ASV_10356	0	0	119	0	0	0
ASV_10399	0	0	0	3	0	4
ASV_104	16	0	17	13	243	0
ASV_10419	0	0	64	0	0	0
ASV_10431	0	0	93	0	0	0
ASV_10433	0	0	0	0	53	0
ASV_10444	0	0	104	0	0	0
ASV_10468	0	0	76	0	0	0
ASV_10476	0	0	105	0	0	0
ASV_10477	0	0	118	0	0	0
ASV_10483	0	96	0	0	0	0
ASV_10508	0	98	0	0	0	0
ASV_1051	4	0	0	7	0	0
ASV_10542	0	86	0	0	0	0
ASV_10543	0	97	0	0	0	0
ASV_10558	0	0	48	0	0	0
ASV_1056	3	0	0	66	134	107
ASV_10564	0	82	0	0	0	0
ASV_10581	0	96	0	0	0	0
ASV_10582	0	0	46	0	0	0
ASV_10590	0	62	0	0	0	0
ASV_10591	0	105	0	0	0	0
ASV_106	0	0	0	40	329	59
ASV_10606	0	72	0	0	0	0
ASV_10607	0	63	0	0	0	0
ASV_10614	0	63	0	0	0	0
ASV_10617	0	0	80	0	0	0
ASV_10628	0	41	0	0	0	0
ASV_10650	0	74	0	0	0	0
ASV_10678	0	0	0	0	0	14
ASV_10697	0	36	0	0	0	0
ASV_107	4	0	0	7	68	6
ASV_10701	0	0	56	0	0	0
ASV_10713	0	11	0	0	0	0
ASV_10714	0	35	0	0	0	0
ASV_10722	1	0	0	1	1	1
ASV_1073	0	0	0	0	0	52
ASV_1074	9	0	0	0	0	0
ASV_10747	0	0	56	0	0	0
ASV_10763	0	46	0	0	0	0
ASV_108	0	0	0	0	0	57
ASV_10811	0	0	46	0	0	0
ASV_10828	0	29	0	0	0	0
ASV_10829	0	52	0	0	0	0
ASV_10830	0	60	0	0	0	0
ASV_1084	0	0	0	25	8	0
ASV_10867	0	42	0	0	0	0
ASV_10877	0	0	37	0	0	0
ASV_109	13	37	122	178	134	2094
ASV_10903	0	26	0	0	0	0
ASV_10910	0	0	46	0	0	0
ASV_10930	0	45	0	0	0	0
ASV_10989	0	0	38	0	0	0
ASV_11	8	0	181	118	219	1288
ASV_110	0	0	0	0	0	37
ASV_11011	0	22	0	0	0	0
ASV_11023	0	0	0	0	0	3
ASV_11050	0	0	30	0	0	0
ASV_11083	0	0	20	0	0	0
ASV_11084	0	0	34	0	0	0
ASV_11088	1	0	0	0	0	0
ASV_111	0	0	0	0	0	3
ASV_11134	0	33	0	0	0	0
ASV_11157	0	24	0	0	0	0
ASV_11172	0	0	0	0	2	3
ASV_11189	0	8	0	0	0	0
ASV_112	13	0	0	0	115	19
ASV_1121	0	0	306	16	25	318
ASV_11210	0	0	0	0	1	0
ASV_1122	0	19	0	0	0	0
ASV_11251	0	20	0	0	0	0
ASV_11265	0	0	29	0	0	0
ASV_11266	0	0	14	0	0	0
ASV_11269	0	0	0	5	0	0
ASV_11275	0	0	0	0	8	2
ASV_11291	0	27	0	0	0	0
ASV_11292	0	18	0	0	0	0
ASV_113	539	0	0	283	783	246
ASV_11307	0	0	23	0	0	0
ASV_11308	0	0	28	0	0	0
ASV_11316	0	0	0	3	3	2
ASV_11339	0	21	0	0	0	0
ASV_11340	0	12	0	0	0	0
ASV_11354	0	0	24	0	0	0
ASV_11376	4	0	0	0	0	0
ASV_1138	13	0	0	49	0	204
ASV_11404	0	0	22	0	0	0
ASV_11422	0	0	0	5	10	0
ASV_11437	0	15	0	0	0	0
ASV_11438	0	10	0	0	0	0
ASV_11439	0	10	0	0	0	0
ASV_1148	0	0	0	31	0	213
ASV_11480	0	16	0	0	0	0
ASV_115	0	0	348	570	979	320
ASV_11502	0	0	27	0	0	0
ASV_11558	0	0	12	0	0	0
ASV_11592	0	12	0	0	0	0
ASV_116	0	0	0	113	74	179
ASV_11608	0	0	15	0	0	0
ASV_11638	0	0	0	4	0	0
ASV_11674	0	0	6	0	0	0
ASV_11675	0	0	14	0	0	0
ASV_117	0	0	125	13	0	0
ASV_11726	0	5	0	0	0	0
ASV_11727	0	5	0	0	0	0
ASV_11751	0	0	10	0	0	0
ASV_11752	0	0	5	0	0	0
ASV_11753	0	0	14	0	0	0
ASV_11771	0	0	0	0	0	5
ASV_11772	0	0	0	0	0	5
ASV_11810	0	4	0	0	0	0
ASV_11811	0	8	0	0	0	0
ASV_11812	0	4	0	0	0	0
ASV_11834	0	0	14	0	0	0
ASV_11835	0	0	9	0	0	0
ASV_11848	0	0	0	0	0	8
ASV_11849	0	0	0	0	0	4
ASV_119	66	0	0	3409	2792	315
ASV_11908	0	0	8	0	0	0
ASV_11909	0	0	3	0	0	0
ASV_11928	0	0	0	0	0	3
ASV_11929	0	0	0	0	0	3
ASV_1193	0	0	0	0	0	2
ASV_11940	0	0	0	0	1	0
ASV_11944	2	0	0	0	0	0
ASV_12004	0	0	0	0	0	2
ASV_12005	0	0	0	0	0	3
ASV_12006	0	0	0	0	0	2
ASV_12017	0	0	0	0	1	0
ASV_12018	0	0	0	0	1	0
ASV_12019	0	0	0	0	1	0
ASV_12023	0	0	0	1	0	0
ASV_12024	0	0	0	1	0	0
ASV_12034	0	0	0	0	0	1
ASV_12035	0	0	0	0	0	1
ASV_12043	0	0	31	0	0	0
ASV_12051	0	0	0	0	0	35
ASV_121	43	0	0	277	175	0
ASV_12109	0	0	0	0	0	1
ASV_12116	0	0	9	0	0	0
ASV_1212	0	0	182	0	0	2
ASV_12122	0	0	0	0	0	8
ASV_1214	0	0	148	0	0	0
ASV_12157	0	0	5	0	0	0
ASV_12188	0	0	0	0	0	4
ASV_12198	0	0	0	0	3	0
ASV_12214	0	0	3	0	0	0
ASV_12215	0	0	3	0	0	0
ASV_12241	0	0	0	2	0	0
ASV_1225	0	0	0	24	0	34
ASV_12255	0	0	0	0	0	2
ASV_123	38	0	0	0	0	0
ASV_124	93	0	0	39	33	270
ASV_125	0	0	174	0	0	0
ASV_1250	0	0	0	0	0	39
