	F_Day_0_DSS_E	O_Day_0_DSS_E	O_Day_7_DSS_E	F_Day_3_DSS_E	F_Day_7_DSS_E
ASV_10	116	0	0	0	0
ASV_100	29	0	0	7	0
ASV_10021	0	15	0	0	0
ASV_10077	0	222	0	0	0
ASV_101	18	0	474	8	0
ASV_10111	0	0	8	0	0
ASV_10112	0	257	0	0	0
ASV_10139	0	0	5	5	0
ASV_10190	0	186	0	0	0
ASV_10204	0	0	4	0	0
ASV_10252	0	0	5	0	0
ASV_1026	0	0	101	54	0
ASV_10288	0	0	9	0	0
ASV_1031	0	0	0	7	0
ASV_10337	0	0	11	0	0
ASV_10340	0	0	17	0	0
ASV_10399	0	0	2	0	0
ASV_104	113	0	60	260	0
ASV_10427	0	63	0	0	0
ASV_10472	0	0	6	0	0
ASV_10484	0	100	0	0	0
ASV_1051	12	0	0	0	0
ASV_10540	0	0	62	0	0
ASV_1056	150	0	26	11	0
ASV_10585	0	49	0	0	0
ASV_106	266	0	23	70	0
ASV_10669	6	0	0	0	0
ASV_107	42	0	9	0	0
ASV_10722	7	0	8	0	0
ASV_10728	0	0	2	0	0
ASV_1073	24	0	118	0	0
ASV_108	0	0	18	16	0
ASV_1084	14	0	0	9	0
ASV_109	223	0	7842	99	0
ASV_10914	2	0	0	0	0
ASV_10928	0	12	0	0	0
ASV_11	483	356	618	123	0
ASV_110	0	0	276	0	0
ASV_11021	0	0	31	0	0
ASV_11022	12	0	0	0	0
ASV_11023	1	0	10	6	0
ASV_11088	6	0	0	1	0
ASV_111	0	0	32	0	0
ASV_11168	0	0	5	0	0
ASV_11170	0	0	31	0	0
ASV_11172	4	0	0	0	0
ASV_11184	0	0	4	0	0
ASV_11200	0	0	11	0	0
ASV_1121	0	0	219	0	0
ASV_11269	2	0	0	0	0
ASV_11275	0	0	1	0	0
ASV_11293	0	30	0	0	0
ASV_113	2707	0	546	221	0
ASV_11316	0	0	1	0	0
ASV_11341	0	28	0	0	0
ASV_11360	0	0	16	0	0
ASV_11379	0	4	0	0	0
ASV_1138	93	0	162	23	0
ASV_11420	0	0	0	10	0
ASV_11454	0	0	10	0	0
ASV_11472	0	0	10	0	0
ASV_1148	0	0	25	0	0
ASV_11481	0	9	0	0	0
ASV_115	48	0	213	370	0
ASV_11513	0	0	18	0	0
ASV_11515	0	0	9	0	0
ASV_11547	0	15	0	0	0
ASV_11548	0	12	0	0	0
ASV_11571	17	0	0	0	0
ASV_11593	0	7	0	0	0
ASV_11594	0	11	0	0	0
ASV_116	266	0	0	60	0
ASV_11621	0	0	7	0	0
ASV_11622	0	0	11	0	0
ASV_11658	0	6	0	0	0
ASV_1169	23	0	0	36	0
ASV_11690	0	0	6	0	0
