,O_Day_0_Abx_A,O_Day_3_Abx_C,F_Day_3_Abx_B,O_Day_0_Abx_E,F_Day_0_Abx_D,F_Day_3_Abx_E,F_Day_0_Abx_C,KP_Exp_8_D8_AVN3,O_Day_3_Abx_B,F_Day_7_Abx_A,KP_Exp_8_D0_OR_AVN3,KP_Exp_8_D0_AVN1,O_Day_0_Abx_B,F_Day_3_Abx_D,O_Day_7_Abx_A,KP_Exp_8_D0_OR_AVN2,O_Day_3_Abx_E,F_Day_3_Abx_A,KP_Exp_8_D8_AVN2,F_Day_7_Abx_E,O_Day_0_Abx_D,O_Day_7_Abx_E,O_Day_3_Abx_A,KP_Exp_8_D0_OR_AVN1,KP_Exp_8_D0_AVN2,O_Day_0_Abx_C,F_Day_7_Abx_B,F_Day_3_Abx_C,KP_Exp_8_D0_AVN3,O_Day_7_Abx_D,KP_Exp_8_D8_AVN1,O_Day_7_Abx_B,F_Day_7_Abx_D,F_Day_0_Abx_A,F_Day_0_Abx_E,Group
O_Day_0_Abx_A,0.0,0.7682074985446651,0.838733677831194,0.7887372838131398,0.9664669576619496,0.832864486562994,0.9584092524464849,0.8843921711305827,0.8087415909441553,0.892295571092678,0.9643525994059373,0.9845636228581266,0.7657820930263425,0.946221054104983,0.7150865007744118,0.906175977168476,0.7754068658207659,0.9336390297731076,0.8841158611130208,0.8875538772648817,0.753792058580713,0.806046434099986,0.7985216360382763,0.8808754518505921,0.9793780224149441,0.8041036465626611,0.8544709735754443,0.848343768869299,0.9898193031224859,0.8487498312166066,0.8841486019573042,0.7454143456001183,0.8118640994510495,0.976904048791455,0.9619336805208341,pre_oral
O_Day_3_Abx_C,0.7682074985446651,0.0,0.6094344490021582,0.6742630194850046,0.8665508473978263,0.6084879448092004,0.889194478706463,0.7849508726541502,0.5731674624484606,0.801965607076585,0.866788794721024,0.9125179466851457,0.6655065160992547,0.8872465757985338,0.6111548393167935,0.8254254901970266,0.5901157239840675,0.7864850868918722,0.7941729843393449,0.7664544045829721,0.5616701895128148,0.704705021329419,0.7096646466692399,0.8737063115028738,0.8839786523942212,0.7187683035906246,0.7212528353366493,0.6358599012008148,0.8797759662502207,0.7670469934931038,0.824575170085024,0.6099300156992028,0.6933788309568235,0.8891314485528342,0.8642055880003943,post_oral
F_Day_3_Abx_B,0.838733677831194,0.6094344490021582,0.0,0.6613780386479965,0.6884017039326521,0.39719689986363066,0.761325802476448,0.7267227726758919,0.5691553946377438,0.6538588565275731,0.8285659872602388,0.8695191180729902,0.6293889321034,0.7696119183797612,0.6821124704720988,0.7772328587158666,0.7145464128398841,0.5781011030677127,0.7480163020557976,0.6278299043157026,0.6986742612675344,0.6870517931165158,0.7466382704488511,0.8362762058205988,0.8289826226222627,0.748038417444217,0.6790354586796339,0.4075970185267472,0.8658297891953981,0.8553172935675111,0.7645440980035846,0.7229607040270324,0.5837208606189352,0.7414034745323502,0.7516662563939489,post_fecal
O_Day_0_Abx_E,0.7887372838131398,0.6742630194850046,0.6613780386479965,0.0,0.9609190469543276,0.6862794942890749,0.9775466180233781,0.7285220264125605,0.616225089234871,0.8678018709297478,0.937343923466625,0.9573171458366295,0.6658537799093096,0.9630630812437797,0.755417756501492,0.7869779338866307,0.704749982233556,0.8976665855533686,0.7498152980748608,0.8715799862571225,0.6527777522531109,0.764222516801845,0.7525207406395505,0.7733924428116643,0.9550059979101446,0.5876223183438076,0.7973742470247761,0.7674958975429976,0.9545794184657531,0.9519832318135301,0.7885074554451204,0.8181743513809938,0.6915313013532155,0.9727288839516021,0.9605355753527932,pre_oral
F_Day_0_Abx_D,0.9664669576619496,0.8665508473978263,0.6884017039326521,0.9609190469543276,0.0,0.6737483597713978,0.38009971065831627,0.9956231962329337,0.9023612018289044,0.4971095702393989,0.8768152356401865,0.8887988385289384,0.8145861342091261,0.4286685383290013,0.7884303976382215,0.9484335236829718,0.9217808790487659,0.43245818279254994,0.993304797212348,0.3804327152413576,0.909348878554746,0.7362093383273576,0.9468705659041191,0.9777183742758556,0.8633429858538662,0.7428790952499754,0.6073534138114516,0.5724789522032501,0.9078397634063954,0.7627809993079093,0.9749870421793663,0.8003971200367013,0.9741779738766504,0.4182744044389151,0.3264123197678712,pre_fecal
F_Day_3_Abx_E,0.832864486562994,0.6084879448092004,0.39719689986363066,0.6862794942890749,0.6737483597713978,0.0,0.6450839984012079,0.7572155598524847,0.6042326530405907,0.5667252214474152,0.8256057358522674,0.8799127136197256,0.6704284199403459,0.7278221938089212,0.6562476972227286,0.8133739520821912,0.7343256991380434,0.6092153162855612,0.7706154831687633,0.5705936399921522,0.7137250405391935,0.656667207718483,0.7682064451086669,0.8691695686581334,0.8317742536279071,0.7577704287477687,0.6419481482629873,0.4115174387606035,0.860371999615506,0.867972106668951,0.7885603805612068,0.7222845343840518,0.6883238755928809,0.7492466835361518,0.6819192748509865,post_fecal
F_Day_0_Abx_C,0.9584092524464849,0.889194478706463,0.761325802476448,0.9775466180233781,0.38009971065831627,0.6450839984012079,0.0,0.9965922358419981,0.9187304674981219,0.51252653553734,0.8989522664975419,0.9239006847142051,0.828570944985059,0.4481877778531854,0.7563517938763022,0.9630108279885515,0.9373511229674951,0.5259417874979735,0.994146278014515,0.4686876597922034,0.9304576931963123,0.7335917436357837,0.9636892195704982,0.992700624002322,0.87986902243712,0.7570898660651949,0.6168503303868229,0.6291935067933874,0.925708603828288,0.7773943996784406,0.9911355754584766,0.8218077955855233,0.9609927914242805,0.5257067337170012,0.32220752187050256,pre_fecal
KP_Exp_8_D8_AVN3,0.8843921711305827,0.7849508726541502,0.7267227726758919,0.7285220264125605,0.9956231962329337,0.7572155598524847,0.9965922358419981,0.0,0.7680050442624275,0.9545566977581912,0.9859731705396376,0.9966747565720577,0.8002826356492498,0.9962645688414884,0.8723499181966844,0.8160168475050176,0.7698374799892064,0.9437247459331444,0.17732136754346595,0.9593535261905339,0.7576091412641816,0.8454227111673129,0.8055707531466804,0.820755679531185,0.9959549665386325,0.8735395504514212,0.8481357528152464,0.8043613898190162,0.9959483516193555,0.9980744568555222,0.3335692834765777,0.8852660448894988,0.7223716170418139,0.9963822809889691,0.9960312718600723,post_fecal
O_Day_3_Abx_B,0.8087415909441553,0.5731674624484606,0.5691553946377438,0.616225089234871,0.9023612018289044,0.6042326530405907,0.9187304674981219,0.7680050442624275,0.0,0.8188839657654874,0.8590523467966195,0.911564915328744,0.6720448960380757,0.8773659723556354,0.6615833087104637,0.7851321253622497,0.6304367262520393,0.8268944391801152,0.7832124528260379,0.8007477821873978,0.6836907589506815,0.7317278377537441,0.7122707013542414,0.8573531222321347,0.8901940724232796,0.770879913311284,0.7321297240199609,0.6654472967001785,0.8836894048611869,0.8637331952269789,0.7895192200563723,0.7330946787795157,0.6384600490692003,0.910971809163387,0.8809745195869446,post_oral
F_Day_7_Abx_A,0.892295571092678,0.801965607076585,0.6538588565275731,0.8678018709297478,0.4971095702393989,0.5667252214474152,0.51252653553734,0.9545566977581912,0.8188839657654874,0.0,0.7907115397715593,0.910914794059303,0.7672418980095295,0.5626639166828395,0.6856880611222513,0.9010181123938721,0.8644781906551887,0.49334539522886744,0.9517252541382976,0.29690080329456214,0.8625597341000497,0.6902191049325077,0.907958335926082,0.9231672495575426,0.8662593534516038,0.6848612711422442,0.6390611781518921,0.515452297820695,0.8515601499745277,0.7801604896025881,0.9439145011683449,0.7680212982538558,0.9001522972545701,0.5898872557875423,0.5355152692771542,post_fecal
